"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"下贱","i",1,0.5948,"","",NA,NA,36
"俺","e",1,0.5669,"","",NA,NA,36
"乐观","e",1,0.6182,"","",NA,NA,36
"他人","i",1,0.5098,"","",NA,NA,36
"消极","i",1,0.5326,"","",NA,NA,36
"杰出","e",1,0.4531,"","",NA,NA,36
"俺","e",1,0.57,"","",NA,NA,36
"我们","e",1,0.55,"","",NA,NA,36
"活泼","e",1,0.5505,"","",NA,NA,36
"他们","i",1,0.4859,"","",NA,NA,36
"朴实","e",1,0.5572,"","",NA,NA,36
"稳重","e",1,0.5755,"","",NA,NA,36
"自私","i",1,0.6126,"","",NA,NA,36
"他的","i",1,0.5255,"","",NA,NA,36
"优秀","e",1,0.4714,"","",NA,NA,36
"轻率","i",1,1.0416,"","",NA,NA,36
"他","i",1,1.2126,"","",NA,NA,36
"自己","e",1,0.7215,"","",NA,NA,36
"正直","e",1,0.5328,"","",NA,NA,36
"冒失","i",1,0.6925,"","",NA,NA,36
"执拗","i",1,0.7215,"","",NA,NA,36
"我","e",1,0.5837,"","",NA,NA,36
"我","e",1,0.5211,"","",NA,NA,36
"凶狠","i",1,0.752,"","",NA,NA,36
"聪明","e",1,0.4755,"","",NA,NA,36
"俺","e",1,0.5421,"","",NA,NA,36
"他","i",1,0.5338,"","",NA,NA,36
"他的","i",1,0.6264,"","",NA,NA,36
"","",NA,NA,"他人","e",1,0.5526,36
"","",NA,NA,"俺","i",1,0.6841,36
"","",NA,NA,"勤奋","e",1,0.539,36
"","",NA,NA,"自己","i",1,0.6352,36
"","",NA,NA,"稳重","e",1,0.6702,36
"","",NA,NA,"朴实","e",1,0.5573,36
"","",NA,NA,"我的","i",1,0.4661,36
"","",NA,NA,"其他","e",1,0.4961,36
"","",NA,NA,"凶狠","i",1,0.5346,36
"","",NA,NA,"自私","i",1,0.5497,36
"","",NA,NA,"勇敢","e",1,0.5498,36
"","",NA,NA,"认真","e",1,0.5373,36
"","",NA,NA,"诚恳","e",1,0.505,36
"","",NA,NA,"崇高","e",1,0.5008,36
"","",NA,NA,"虚伪","i",1,0.5922,36
"","",NA,NA,"乐观","e",1,0.4513,36
"","",NA,NA,"我的","i",1,0.6588,36
"","",NA,NA,"猖狂","i",1,0.5374,36
"","",NA,NA,"我","i",1,0.5298,36
"","",NA,NA,"他","e",1,0.4216,36
"","",NA,NA,"我们","i",1,0.6573,36
"","",NA,NA,"他","e",1,0.5602,36
"","",NA,NA,"悲观","i",1,0.6577,36
"","",NA,NA,"公正","e",1,0.554,36
"","",NA,NA,"他","e",1,0.9165,36
"","",NA,NA,"细腻","e",1,0.6237,36
"","",NA,NA,"他的","e",1,0.726,36
"","",NA,NA,"他人","e",1,0.4992,36
"","",NA,NA,"俺","i",1,0.5997,36
"","",NA,NA,"他的","e",1,0.8952,36
"","",NA,NA,"俺","i",1,0.596,36
"","",NA,NA,"他的","e",1,0.5013,36
"","",NA,NA,"我","i",1,0.4913,36
"","",NA,NA,"下贱","i",1,0.5994,36
"","",NA,NA,"其他","e",1,0.7326,36
"","",NA,NA,"固执","i",1,0.6496,36
"","",NA,NA,"暴躁","i",1,0.536,36
"","",NA,NA,"他们","e",1,0.6066,36
"","",NA,NA,"他的","e",1,0.4998,36
"","",NA,NA,"其他","e",1,0.5552,36
"","",NA,NA,"机智","e",1,0.4513,36
"","",NA,NA,"执拗","i",1,0.6697,36
"","",NA,NA,"卑鄙","i",1,0.5786,36
"","",NA,NA,"他","e",1,0.5662,36
"","",NA,NA,"冒失","i",1,0.5687,36
"","",NA,NA,"刻薄","i",1,0.5745,36
"","",NA,NA,"热情","e",1,0.6109,36
"","",NA,NA,"他们","e",1,0.6517,36
"","",NA,NA,"聪明","e",1,0.5178,36
"","",NA,NA,"活泼","e",1,0.6056,36
"","",NA,NA,"消极","i",1,0.5202,36
"","",NA,NA,"野蛮","i",1,0.6056,36
"","",NA,NA,"我们","i",1,0.4239,36
"","",NA,NA,"我们","i",1,0.5169,36
"","",NA,NA,"他人","e",1,0.489,36
"","",NA,NA,"他们","e",1,0.4203,36
"","",NA,NA,"诚实","e",1,0.5826,36
"","",NA,NA,"其他","e",1,0.5994,36
"","",NA,NA,"无私","e",0,0.6041,36
"","",NA,NA,"我们","i",1,0.5958,36
"","",NA,NA,"冷静","e",1,0.5515,36
"","",NA,NA,"优秀","e",1,0.5122,36
"","",NA,NA,"我","i",1,0.6863,36
"","",NA,NA,"杰出","e",1,0.5031,36
"","",NA,NA,"他人","e",1,0.5892,36
"","",NA,NA,"自己","i",1,0.5334,36
"","",NA,NA,"我的","i",1,0.6209,36
"","",NA,NA,"自卑","i",1,0.5826,36
"","",NA,NA,"我的","i",1,0.6066,36
"","",NA,NA,"傲慢","i",1,0.5434,36
"","",NA,NA,"轻率","i",1,0.8027,36
"","",NA,NA,"我","i",1,0.5832,36
"","",NA,NA,"愚蠢","i",1,0.5458,36
"","",NA,NA,"他们","e",1,0.523,36
"","",NA,NA,"自己","i",1,0.6776,36
"","",NA,NA,"自己","i",1,0.4924,36
