﻿Instruction1.keys,Instruction1.rt,Instruction2.keys,Instruction2.rt,key_resp_iso.keys,key_resp_iso.corr,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_01.ran,Words,ans,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_iso.rt,key_resp_3.keys,key_resp_3.rt,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_02.ran,Words_ipn,ans_ipn,key_resp_4.keys,key_resp_4.rt,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Practice_T1.ran,Words_t1,ans_t1,key_resp_5.keys,key_resp_5.rt,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Formal_T1.ran,key_resp_6.keys,key_resp_6.rt,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_iso_Reverse.ran,key_resp_iso_reverse.rt,key_resp_7.keys,key_resp_7.rt,key_resp_t2_Practice.keys,key_resp_t2_Practice.corr,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,Practice_t2_Reverse.ran,Words_t2,ans_t2,key_resp_t2_Practice.rt,key_resp_8.keys,key_resp_8.rt,key_resp_t2.keys,key_resp_t2.corr,Formal_t2_reverse.thisRepN,Formal_t2_reverse.thisTrialN,Formal_t2_reverse.thisN,Formal_t2_reverse.thisIndex,Formal_t2_reverse.ran,key_resp_t2.rt,key_instruct.keys,key_instruct.rt
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,space,14.192,e,1,1.284,0,0,0,14,1,朴实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.8515,0,1,1,31,1,散漫,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,1.2053,0,2,2,26,1,自卑,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.8349,0,3,3,1,1,崇高,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.5506,0,4,4,7,1,勇敢,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.4874,0,5,5,13,1,公正,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.491,0,6,6,5,1,诚实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.4614,0,7,7,8,1,勤奋,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.5012,0,8,8,4,1,乐观,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,1.0582,0,9,9,37,1,固执,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.8855,0,10,10,19,1,诚恳,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,0,0.6356,0,11,11,28,1,鲁莽,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.5686,0,12,12,24,1,悲观,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.6353,0,13,13,2,1,聪明,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.7002,0,14,14,22,1,愚蠢,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,1.3518,0,15,15,35,1,猖狂,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.7446,0,16,16,17,1,热情,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.6812,0,17,17,21,1,虚伪,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.606,0,18,18,0,1,优秀,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,0,0.7008,0,19,19,12,1,无私,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.6048,0,20,20,32,1,凶狠,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.884,0,21,21,38,1,轻率,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.5018,0,22,22,36,1,野蛮,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.5177,0,23,23,20,1,卑鄙,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.8094,0,24,24,10,1,认真,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.4788,0,25,25,25,1,消极,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.7028,0,26,26,27,1,傲慢,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.5986,0,27,27,15,1,细腻,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,0,0.7084,0,28,28,16,1,冷静,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,0,0.5617,0,29,29,33,1,自私,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.4842,0,30,30,39,1,下贱,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.5252,0,31,31,29,1,冒失,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.5302,0,32,32,30,1,执拗,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.7209,0,33,33,11,1,稳重,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,1.249,0,34,34,3,1,杰出,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.6183,0,35,35,18,1,活泼,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.5879,0,36,36,9,1,机智,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.5853,0,37,37,34,1,暴躁,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,i,1,0.6289,0,38,38,23,1,刻薄,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,e,1,0.5936,0,39,39,6,1,正直,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,space,10.2225,i,1,1.3001,0,0,0,57,1,他的,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,,0,,0,1,1,75,1,他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.5112,0,2,2,67,1,他的,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.5041,0,3,3,79,1,其他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.4909,0,4,4,0,1,我,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.6354,0,5,5,66,1,他们,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.532,0,6,6,74,1,俺,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.7202,0,7,7,46,1,野蛮,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.6652,0,8,8,3,1,自己,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,0,0.4943,0,9,9,65,1,他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.6822,0,10,10,44,1,暴躁,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.6259,0,11,11,28,1,活泼,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.7656,0,12,12,24,1,朴实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.5858,0,13,13,32,1,愚蠢,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.6459,0,14,14,21,1,稳重,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.7648,0,15,15,35,1,消极,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,1.2961,0,16,16,5,1,他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.8778,0,17,17,77,1,他的,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.8153,0,18,18,52,1,我们,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.547,0,19,19,34,1,悲观,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,0,0.6012,0,20,20,22,1,无私,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,,0,,0,21,21,29,1,诚恳,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.5336,0,22,22,73,1,自己,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.5445,0,23,23,1,1,我的,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.5865,0,24,24,23,1,公正,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.5603,0,25,25,11,1,崇高,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,1.0304,0,26,26,26,1,冷静,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.4487,0,27,27,19,1,机智,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,0,0.3064,0,28,28,56,1,他们,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.6658,0,29,29,12,1,聪明,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.5859,0,30,30,40,1,执拗,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.5381,0,31,31,25,1,细腻,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,0.7162,0,32,32,58,1,他人,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.7861,0,33,33,16,1,正直,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.4934,0,34,34,2,1,我们,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,e,1,0.5568,0,35,35,15,1,诚实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-02-07_16h39.28.691,IAT(Formal),2021.2.3,Win32,58.82352941,,,,,,,,,,,,,,,,i,1,1.1333,0,36,36,55,1,他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
