﻿Instruction1.keys,Instruction1.rt,Instruction2.keys,Instruction2.rt,key_resp_iso.keys,key_resp_iso.corr,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_01.ran,Words,ans,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_iso.rt,key_resp_3.keys,key_resp_3.rt,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_02.ran,Words_ipn,ans_ipn,key_resp_4.keys,key_resp_4.rt,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Practice_T1.ran,Words_t1,ans_t1,key_resp_5.keys,key_resp_5.rt,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Formal_T1.ran,key_resp_6.keys,key_resp_6.rt,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_iso_Reverse.ran,key_resp_7.keys,key_resp_7.rt,key_resp_t2_Practice.keys,key_resp_t2_Practice.corr,key_resp_t2_Practice.rt,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,Practice_t2_Reverse.ran,Words_t2,ans_t2,key_resp_8.keys,key_resp_8.rt,key_resp_t2.keys,key_resp_t2.corr,Formal_t2_reverse.thisRepN,Formal_t2_reverse.thisTrialN,Formal_t2_reverse.thisN,Formal_t2_reverse.thisIndex,Formal_t2_reverse.ran,key_resp_t2.rt,key_instruct.keys,key_instruct.rt
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,1,0.6267,0,19,19,22,1,愚蠢,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,1,0.4862,0,20,20,36,1,野蛮,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.625,0,21,21,13,1,公正,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.4583,0,22,22,14,1,朴实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.4801,0,23,23,7,1,勇敢,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.4854,0,24,24,6,1,正直,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.4977,0,25,25,9,1,机智,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.5452,0,26,26,18,1,活泼,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.424,0,27,27,17,1,热情,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,0,0.4081,0,28,28,12,1,无私,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.4164,0,29,29,0,1,优秀,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,1,0.6291,0,30,30,29,1,冒失,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.5674,0,31,31,3,1,杰出,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,1,1.0359,0,32,32,37,1,固执,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,1,0.5559,0,33,33,39,1,下贱,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,1,0.6311,0,34,34,25,1,消极,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,1,0.5697,0,35,35,31,1,散漫,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.4976,0,36,36,4,1,乐观,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,1,0.4976,0,37,37,33,1,自私,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,e,1,0.5813,0,38,38,10,1,认真,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,i,1,0.6111,0,39,39,38,1,轻率,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,space,10.7906,e,1,0.8308,0,0,0,62,1,我们,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.5318,0,1,1,49,1,下贱,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,1,0.6269,0,2,2,16,1,正直,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.5827,0,3,3,48,1,轻率,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.3916,0,4,4,66,1,他们,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,1,0.468,0,5,5,70,1,我,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,1,0.5657,0,6,6,74,1,俺,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,0,0.7335,0,7,7,41,1,散漫,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.5767,0,8,8,33,1,刻薄,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,1,0.4682,0,9,9,2,1,我们,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,1,0.6047,0,10,10,27,1,热情,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,1,0.4818,0,11,11,10,1,优秀,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.4731,0,12,12,44,1,暴躁,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.6571,0,13,13,37,1,傲慢,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.4679,0,14,14,35,1,消极,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.6399,0,15,15,9,1,其他,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,1,0.6275,0,16,16,21,1,稳重,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,1,0.5064,0,17,17,1,1,我的,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,e,1,0.489,0,18,18,11,1,崇高,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.4041,0,19,19,45,1,猖狂,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.534,0,20,20,58,1,他人,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,001,2025-01-03_07h12.44.249,IAT(Formal),2021.2.3,Win32,60.60606061,,,,,,,,,,,,,,,,i,1,0.5991,0,21,21,57,1,他的,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
