"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"","",NA,NA,"他","e",1,0.4824,"24"
"","",NA,NA,"无私","e",1,0.4633,"24"
"","",NA,NA,"我们","i",1,0.4826,"24"
"","",NA,NA,"愚蠢","i",1,0.8508,"24"
"","",NA,NA,"轻率","i",1,0.5175,"24"
"","",NA,NA,"他们","e",1,0.5044,"24"
"","",NA,NA,"热情","e",1,0.8285,"24"
"","",NA,NA,"我","i",1,0.4334,"24"
"","",NA,NA,"散漫","i",1,0.5682,"24"
"","",NA,NA,"执拗","i",1,0.4333,"24"
"","",NA,NA,"他人","e",1,0.567,"24"
"","",NA,NA,"他们","e",1,0.4756,"24"
"","",NA,NA,"其他","e",1,0.5393,"24"
"","",NA,NA,"俺","i",1,0.6372,"24"
"","",NA,NA,"傲慢","i",1,0.752,"24"
"","",NA,NA,"认真","e",1,0.6171,"24"
"","",NA,NA,"崇高","e",1,0.7506,"24"
"","",NA,NA,"活泼","e",1,0.7241,"24"
"","",NA,NA,"杰出","e",1,0.4505,"24"
"","",NA,NA,"我们","i",1,0.4029,"24"
"","",NA,NA,"我","i",1,0.4502,"24"
"","",NA,NA,"我的","i",1,0.4557,"24"
"","",NA,NA,"他们","e",1,0.5061,"24"
"","",NA,NA,"我","i",1,0.4527,"24"
"","",NA,NA,"俺","i",1,0.9032,"24"
"","",NA,NA,"诚实","e",1,0.846,"24"
"","",NA,NA,"虚伪","i",1,0.6177,"24"
"","",NA,NA,"自己","i",1,0.8467,"24"
"","",NA,NA,"他人","e",1,0.4514,"24"
"","",NA,NA,"自己","i",1,0.4286,"24"
"","",NA,NA,"其他","e",1,0.886,"24"
"","",NA,NA,"自卑","i",1,0.9407,"24"
"","",NA,NA,"勤奋","e",1,0.8293,"24"
"","",NA,NA,"稳重","e",1,1.1003,"24"
"","",NA,NA,"我的","i",1,0.6059,"24"
"","",NA,NA,"其他","e",1,0.6171,"24"
"","",NA,NA,"细腻","e",1,0.8179,"24"
"","",NA,NA,"我的","i",1,0.4173,"24"
"","",NA,NA,"聪明","e",1,0.6967,"24"
"","",NA,NA,"悲观","i",1,0.5086,"24"
"","",NA,NA,"他的","e",1,0.518,"24"
"","",NA,NA,"诚恳","e",1,1.1499,"24"
"","",NA,NA,"优秀","e",1,0.7284,"24"
"","",NA,NA,"冷静","e",1,0.8074,"24"
"","",NA,NA,"他","e",1,0.495,"24"
"","",NA,NA,"正直","e",1,0.6665,"24"
"","",NA,NA,"暴躁","i",1,0.5441,"24"
"","",NA,NA,"我们","i",1,0.4876,"24"
"","",NA,NA,"他","e",1,0.8513,"24"
"","",NA,NA,"自私","i",1,1.2999,"24"
"","",NA,NA,"野蛮","i",1,0.5418,"24"
"","",NA,NA,"他人","e",1,0.4692,"24"
"","",NA,NA,"乐观","e",1,0.7847,"24"
"","",NA,NA,"鲁莽","i",1,0.5701,"24"
"","",NA,NA,"卑鄙","i",1,0.53,"24"
"","",NA,NA,"俺","i",1,0.5181,"24"
"","",NA,NA,"凶狠","i",1,0.6014,"24"
"","",NA,NA,"自己","i",1,0.5277,"24"
"","",NA,NA,"我","i",1,0.4021,"24"
"","",NA,NA,"他人","e",1,0.5005,"24"
"","",NA,NA,"他们","e",1,0.487,"24"
"","",NA,NA,"自己","i",1,0.6663,"24"
"","",NA,NA,"固执","i",1,0.5381,"24"
"","",NA,NA,"冒失","i",1,0.5014,"24"
"","",NA,NA,"俺","i",1,0.5844,"24"
"","",NA,NA,"其他","e",1,0.5001,"24"
"","",NA,NA,"他的","e",1,0.528,"24"
"","",NA,NA,"机智","e",1,0.867,"24"
"","",NA,NA,"他的","e",1,0.5417,"24"
"","",NA,NA,"消极","i",1,0.6276,"24"
"","",NA,NA,"下贱","i",1,0.4717,"24"
"","",NA,NA,"我的","i",1,0.371,"24"
"","",NA,NA,"他们","e",1,0.5676,"24"
"","",NA,NA,"俺","i",1,0.4785,"24"
"","",NA,NA,"他","e",1,0.4607,"24"
"","",NA,NA,"我们","i",1,0.4461,"24"
"","",NA,NA,"他","e",1,0.4668,"24"
"","",NA,NA,"自己","i",1,0.3868,"24"
"","",NA,NA,"轻率","i",1,0.7575,"24"
"","",NA,NA,"我的","i",1,0.5167,"24"
"","",NA,NA,"他们","e",1,0.4178,"24"
"","",NA,NA,"我","i",1,0.4627,"24"
"","",NA,NA,"无私","e",1,0.854,"24"
"","",NA,NA,"暴躁","i",1,0.6199,"24"
"","",NA,NA,"猖狂","i",1,0.4299,"24"
"","",NA,NA,"卑鄙","i",1,0.434,"24"
"","",NA,NA,"他人","e",1,0.6169,"24"
"","",NA,NA,"虚伪","i",1,0.583,"24"
"","",NA,NA,"他人","e",1,0.4614,"24"
"","",NA,NA,"他","e",1,0.4525,"24"
"","",NA,NA,"冷静","e",0,0.8435,"24"
"","",NA,NA,"热情","e",1,1.1056,"24"
"","",NA,NA,"傲慢","i",0,NA,"24"
"","",NA,NA,"我的","i",1,0.5035,"24"
"","",NA,NA,"我们","i",1,0.4969,"24"
"","",NA,NA,"自己","i",1,0.467,"24"
"","",NA,NA,"俺","i",1,0.5019,"24"
"","",NA,NA,"悲观","i",1,0.7002,"24"
"","",NA,NA,"冒失","i",1,0.935,"24"
"","",NA,NA,"诚实","e",1,0.5596,"24"
"","",NA,NA,"正直","e",1,0.9232,"24"
"","",NA,NA,"他人","e",1,0.5844,"24"
"","",NA,NA,"诚恳","e",1,0.8186,"24"
"","",NA,NA,"杰出","e",1,0.6458,"24"
"","",NA,NA,"我","i",1,0.5666,"24"
"","",NA,NA,"我","i",1,0.4355,"24"
"","",NA,NA,"消极","i",1,0.5783,"24"
"","",NA,NA,"执拗","i",1,0.7109,"24"
"","",NA,NA,"我们","i",1,0.4016,"24"
