Id,Gender,Age,Only_Child,Handedness,5、请选择你所在的地区？,6、请选择你的民族？,7、请选择你所学的专业？,8、请选择你的教育程度？,d_prime_goodme_badothers,d_prime_badme_goodothers,IAS_Total,SS_Total,PRCA_Total,PRCA_grouo,PRCA_meeting,PRCA_twopeople,PRCA_public
63,2,19,1,1,湖北省/武汉市/江夏区,汉族,管理学,本科,3.002171892,2.019980338,59,53,61,14,17,14,16
64,2,59,2,1,天津市/市辖区/东丽区,汉族,工学（其他类）,本科,4.7879596,2.426679245,53,45,54,7,15,20,12
65,1,18,1,1,内蒙古自治区/呼和浩特市/新城区,汉族,工学（计算机类）,本科,4.482805455,4.995410949,63,54,57,14,17,14,12
66,1,31,1,1,天津市/市辖区/滨海新区,汉族,经济学,本科,4.256090468,3.919927969,36,36,74,17,17,19,21
67,1,20,1,1,天津市/市辖区/和平区,汉族,经济学,本科,2.661123026,2.712623491,34,30,83,23,18,21,21
68,1,25,1,1,江苏省/南京市/江宁区,汉族,工学（计算机类）,本科,4.7879596,3.560928683,64,60,51,12,15,13,11
69,1,21,2,2,江苏省/徐州市/铜山区,回族,教育学,本科,0.74819082,2.426679245,32,28,88,22,20,23,23
70,1,23,1,1,上海市/市辖区/徐汇区,汉族,工学（其他类）,硕士,3.667829272,3.289707254,49,46,57,13,17,14,13
71,2,21,2,1,广东省/广州市/越秀区,汉族,医学,本科,3.667829272,3.417470516,66,48,48,9,15,12,12
72,2,22,2,1,河北省/石家庄市/桥西区,汉族,文学,本科,0.209266911,-0.346385302,45,29,74,20,18,17,19
73,2,23,2,1,上海市/市辖区/徐汇区,汉族,哲学,硕士,3.373341633,2.072866779,57,49,58,14,16,14,14
74,2,29,1,1,新疆维吾尔自治区/乌鲁木齐市/米东区,汉族,文学,本科,2.611329051,1.309899834,54,46,62,20,15,13,14
75,2,21,2,2,江苏省/苏州市/张家港市,汉族,法学,本科,3.786369069,-0.031334135,44,31,86,21,19,23,23
76,2,31,2,1,河北省/邢台市/广宗县,汉族,其他专业,本科,3.560928683,3.068241089,45,44,65,16,17,16,16
77,2,21,2,1,安徽省/合肥市/市辖区,汉族,工学（计算机类）,本科,3.667829272,3.417470516,64,61,52,13,13,12,14
78,2,23,2,1,甘肃省/兰州市/安宁区,汉族,工学（机械与自动化类）,硕士,3.002171892,2.241003534,64,56,53,12,17,13,11
79,2,21,2,1,安徽省/合肥市/瑶海区,汉族,医学,本科,3.560928683,1.683242467,41,38,71,18,18,18,17
80,2,28,1,1,福建省/宁德市/福安市,汉族,工学（计算机类）,本科,2.879062942,1.968469921,57,51,58,14,15,17,12
81,2,19,2,1,天津市/市辖区/西青区,汉族,文学,本科,4.7879596,1.968469921,62,51,54,12,17,14,11
82,2,24,2,1,广东省/广州市/海珠区,汉族,管理学,本科,4.7879596,3.174111665,44,34,73,19,19,18,17
83,2,20,1,1,山东省/济南市/济阳区,汉族,管理学,本科,-0.188274829,-0.156824825,57,45,73,21,18,17,17
84,2,18,2,1,广东省/广州市/海珠区,汉族,理学（其他）,本科,3.560928683,2.879062942,39,32,80,21,19,20,20
