"Id","Gender","Age","Only_Child","Handedness","X5.请选择你所在的地区.","X6.请选择你的民族.","X7.请选择你所学的专业.","X8.请选择你的教育程度.","d_prime_goodme_badothers","d_prime_badme_goodothers","IAS_Total","SS_Total","PRCA_Total","PRCA_grouo","PRCA_meeting","PRCA_twopeople","PRCA_public","mean_logRT_compatible","mean_logRT_incompatible","IAT_score","Group"
65,1,18,1,1,"内蒙古自治区/呼和浩特市/新城区","汉族","工学（计算机类）","本科",4.482805455,4.995410949,63,54,57,14,17,14,12,6.36605593291732,6.41316676187583,0.0471108289585134,"Low"
66,1,31,1,1,"天津市/市辖区/滨海新区","汉族","经济学","本科",4.256090468,3.919927969,36,36,74,17,17,19,21,6.21820618654815,6.34905464923438,0.130848462686233,"Medium"
67,1,20,1,1,"天津市/市辖区/和平区","汉族","经济学","本科",2.661123026,2.712623491,34,30,83,23,18,21,21,6.48648666400841,6.49218020411943,0.0056935401110163,"Low"
68,1,25,1,1,"江苏省/南京市/江宁区","汉族","工学（计算机类）","本科",4.7879596,3.560928683,64,60,51,12,15,13,11,6.31477381737433,6.41013301409054,0.095359196716208,"Medium"
70,1,23,1,1,"上海市/市辖区/徐汇区","汉族","工学（其他类）","硕士",3.667829272,3.289707254,49,46,57,13,17,14,13,6.29220768462113,6.49597921126273,0.203771526641606,"High"
71,2,21,2,1,"广东省/广州市/越秀区","汉族","医学","本科",3.667829272,3.417470516,66,48,48,9,15,12,12,6.26844539083329,6.40640203790808,0.137956647074787,"Medium"
73,2,23,2,1,"上海市/市辖区/徐汇区","汉族","哲学","硕士",3.373341633,2.072866779,57,49,58,14,16,14,14,6.47246629231487,6.59786632292462,0.125400030609751,"Medium"
76,2,31,2,1,"河北省/邢台市/广宗县","汉族","其他专业","本科",3.560928683,3.068241089,45,44,65,16,17,16,16,6.53479965972258,6.57070505886324,0.0359053991406633,"Low"
77,2,21,2,1,"安徽省/合肥市/市辖区","汉族","工学（计算机类）","本科",3.667829272,3.417470516,64,61,52,13,13,12,14,6.51344566206742,6.46412479751229,-0.0493208645551304,"Low"
78,2,23,2,1,"甘肃省/兰州市/安宁区","汉族","工学（机械与自动化类）","硕士",3.002171892,2.241003534,64,56,53,12,17,13,11,6.33017663951418,6.47131841702559,0.141141777511415,"High"
79,2,21,2,1,"安徽省/合肥市/瑶海区","汉族","医学","本科",3.560928683,1.683242467,41,38,71,18,18,18,17,6.34212554504525,6.45494394842542,0.112818403380174,"Medium"
